context,anchor,relation,query,k,positive,id,arxiv_categories,is_cross_domain,random,mpnet_zero,sciIE,gpt-4o,ours
"Large Language Models (LLMs) often struggle with domain-specific needs due to their generic knowledge, and fine-tuning can lead to catastrophic forgetting and reduced generalizability. There is a need for effective demonstration retrieval systems that prioritize discovery and maximize information gain, as traditional relevance measures may not suffice in this context.",Fine-tuning of Large Language Models,inspiration,"Background: Large Language Models (LLMs) often struggle with domain-specific needs due to their generic knowledge, and fine-tuning can lead to catastrophic forgetting and reduced generalizability. There is a need for effective demonstration retrieval systems that prioritize discovery and maximize information gain, as traditional relevance measures may not suffice in this context.
Contribution: 'Fine-tuning of Large Language Models' inspired by ",1,item-cold-start recommender systems,1-15871_6b6fcf1b-6ead-461e-a437-55347cefc0b3,"['cs.ir', ' cs.cl', ' cs.lg']",False,human-like heuristics and shortcuts,retrieval-augmented Large language models,fine-tuned large language models (LLMs),Curriculum learning,a strategy named Collaborative Knowledge-STudying-Enhanced Evolution by Retrieval (Co-STEER)
"Traditional control strategies for quadrupedal robots often enforce fixed postures, which can minimize natural body movements and overlook the dynamical advantages of natural locomotion. This study addresses the need for more efficient and stable robotic locomotion by embracing the natural dynamics of quadrupedal movement, particularly in asymmetrical gaits like bounding.",quadrupedal locomotion,inspiration,"Background: Traditional control strategies for quadrupedal robots often enforce fixed postures, which can minimize natural body movements and overlook the dynamical advantages of natural locomotion. This study addresses the need for more efficient and stable robotic locomotion by embracing the natural dynamics of quadrupedal movement, particularly in asymmetrical gaits like bounding.
Contribution: 'quadrupedal locomotion' inspired by ",1,natural dynamics and underactuated robotics principles,1-22155_80861036-843f-4acf-8dd8-eeca31242c9e,['cs.ro'],False,off-the-shelf embedding models,devising a good gait transition strategy for quadruped robots,simulated quadrupedal robot,Cheetah locomotion,the natural gait transition mechanism of quadrupeds
"The design of existing Large Multimodal Models leads to inefficiencies due to an excessive number of tokens required for dense visual scenarios, such as high-resolution images and videos. Current token pruning and merging methods lack flexibility in balancing information density and efficiency, highlighting a need for improved representation strategies that can adapt to varying complexities of visual content.",Learned Visual Content Representation,inspiration,"Background: The design of existing Large Multimodal Models leads to inefficiencies due to an excessive number of tokens required for dense visual scenarios, such as high-resolution images and videos. Current token pruning and merging methods lack flexibility in balancing information density and efficiency, highlighting a need for improved representation strategies that can adapt to varying complexities of visual content.
Contribution: 'Learned Visual Content Representation' inspired by ",1,the concept of Matryoshka Dolls,1-28267_42e9dab5-5541-4427-8fac-63e27d0ea054,"['cs.cv', ' cs.ai', ' cs.cl', ' cs.lg']",True,context-aware decoding,Large Multimodal Models,multimodal representations,biological visual systems,the token-mixing technique applied in 2D images
"Large language models (LLMs) struggle with increased context length and complexity, leading to challenges in task solving and question answering. Existing frameworks do not adequately address the need for models to dynamically adapt and decompose complex tasks into simpler sub-problems for improved performance.",model generation,inspiration,"Background: Large language models (LLMs) struggle with increased context length and complexity, leading to challenges in task solving and question answering. Existing frameworks do not adequately address the need for models to dynamically adapt and decompose complex tasks into simpler sub-problems for improved performance.
Contribution: 'model generation' inspired by ",1,a thread of execution,1-40634_3bb890a9-899a-427b-9c31-2ccf4c136df0,['cs.cl'],False,little human input,improve the performance of Large Language Models on complex reasoning and planning tasks,Large Language Model,cognitive task decomposition,complex task-solving processes
"The performance of large language models (LLMs) is heavily dependent on the input prompt, and previous works on prompt optimization often require numeric scores to assess prompt quality, which are infeasible and unreliable when interacting with a black-box LLM. Instead, obtaining preference feedback from human users is significantly easier and more reliable, highlighting a need for methodologies that can optimize prompts using this type of feedback.",prompt optimization with human feedback,inspiration,"Background: The performance of large language models (LLMs) is heavily dependent on the input prompt, and previous works on prompt optimization often require numeric scores to assess prompt quality, which are infeasible and unreliable when interacting with a black-box LLM. Instead, obtaining preference feedback from human users is significantly easier and more reliable, highlighting a need for methodologies that can optimize prompts using this type of feedback.
Contribution: 'prompt optimization with human feedback' inspired by ",1,dueling bandits,1-13583_0d12bf33-27bd-4223-aa0e-b22768f270e6,"['cs.lg', ' cs.ai']",False,fMRI data,learning prompts using only text data derived from large language models,prompt-engineering-based large language models (LLMs),Reinforcement learning from human feedback (RLHF),learning from preference data
"The integration of large language models (LLMs) into knowledge-based question answering (KBQA) presents challenges due to their high costs and lack of domain-specific knowledge during pre-training. Additionally, optimizing for both accuracy and cost in model selection is complex, as different models excel in various knowledge areas, making it laborious to determine the best fit for specific tasks.",Knowledge-based question answering,inspiration,"Background: The integration of large language models (LLMs) into knowledge-based question answering (KBQA) presents challenges due to their high costs and lack of domain-specific knowledge during pre-training. Additionally, optimizing for both accuracy and cost in model selection is complex, as different models excel in various knowledge areas, making it laborious to determine the best fit for specific tasks.
Contribution: 'Knowledge-based question answering' inspired by ",1,a tailored multi-armed bandit problem,1-977_358fa109-4aca-410a-adda-73a2ed2866ef,"['cs.cl', ' cs.ai']",False,textual information for object detection,improve the reasoning capabilities of Large Language Models,knowledge-grounded question answering,hybrid models combining LLMs with domain-specific databases,a multi-choice question-answering task
"Calibrating stereo vision systems that incorporate both event and frame-based cameras remains a significant challenge. Existing methods may not adequately address the need for accurate calibration of intrinsic parameters, extrinsic parameters, and time offset in such systems.",a novel calibration pattern applicable to both camera types and the corresponding event recognition algorithm,inspiration,"Background: Calibrating stereo vision systems that incorporate both event and frame-based cameras remains a significant challenge. Existing methods may not adequately address the need for accurate calibration of intrinsic parameters, extrinsic parameters, and time offset in such systems.
Contribution: 'a novel calibration pattern applicable to both camera types and the corresponding event recognition algorithm' inspired by ",1,a spatiotemporal calibration framework for event- and frame-based cameras using continuous-time trajectories,1-14627_88fdef37-caa6-4c5f-b171-5ad7f3a4b512,"['cs.ro', ' cs.cv']",False,a shallow dilated convolution architecture,a spatiotemporal calibration framework for event- and frame-based cameras using continuous-time trajectories,event-based stereo disparity estimation method,bio-inspired neural networks,a spatiotemporal calibration framework for event- and frame-based cameras using continuous-time trajectories
"This essay explores how literary concepts can advance design theory around AI writing tools, encouraging creators to engage with past writing innovations alongside new technological possibilities. It also addresses the need for a critical perspective on the concerns writers have historically expressed, which may inform the design of contemporary writing tools.",the design of AI writing tools,inspiration,"Background: This essay explores how literary concepts can advance design theory around AI writing tools, encouraging creators to engage with past writing innovations alongside new technological possibilities. It also addresses the need for a critical perspective on the concerns writers have historically expressed, which may inform the design of contemporary writing tools.
Contribution: 'the design of AI writing tools' inspired by ",1,avant-garde literature,1-5936_93733f00-5c88-4125-947d-5061e595fcfd,"['cs.hc', ' cs.cl']",False,LLM-based logits,Flower and Hayes' cognitive process theory of writing,writing systems,literary techniques,Flower and Hayes' cognitive process theory of writing
The challenge of selectively retaining memories of permanent elements while managing the frequent changes of ephemeral objects in robotic perception necessitates a method that can effectively decompose environments from transient elements. This need for robust environmental mapping and object segmentation in a self-supervised manner highlights a gap in existing approaches that often require human intervention or struggle with consistency across multiple traversals.,multitraverse environmental mapping,inspiration,"Background: The challenge of selectively retaining memories of permanent elements while managing the frequent changes of ephemeral objects in robotic perception necessitates a method that can effectively decompose environments from transient elements. This need for robust environmental mapping and object segmentation in a self-supervised manner highlights a gap in existing approaches that often require human intervention or struggle with consistency across multiple traversals.
Contribution: 'multitraverse environmental mapping' inspired by ",1,a robust differentiable rendering problem,1-35022_c69af7db-3a44-41de-a670-8ba4043a5817,"['cs.cv', ' cs.ai', ' cs.ro']",False,"the legal doctrine of stare decisis, which leverages precedents (prior cases) for informed decision-making",semantic information of objects detected in the environment,mapping of unfamiliar environments,neural network-based SLAM,an active mapping problem
"The high computational costs of existing neural rendering methods pose challenges for deployment in resource-constrained environments and real-time applications. Additionally, while alternative methods like 3D Gaussian Splatting offer rapid rendering speeds, they require substantial storage to maintain high-quality representations, indicating a need for more efficient approaches that reduce storage overhead while preserving image quality.",represent and approximate dense clusters of Gaussians with significantly fewer Gaussians,inspiration,"Background: The high computational costs of existing neural rendering methods pose challenges for deployment in resource-constrained environments and real-time applications. Additionally, while alternative methods like 3D Gaussian Splatting offer rapid rendering speeds, they require substantial storage to maintain high-quality representations, indicating a need for more efficient approaches that reduce storage overhead while preserving image quality.
Contribution: 'represent and approximate dense clusters of Gaussians with significantly fewer Gaussians' inspired by ",1,classical matrix and tensor factorization techniques,1-26769_5e2da40a-f21d-494a-9eb0-03dd24febab4,['cs.cv'],True,Environments Programmed in Code,recent progress in neural rendering,3D Gaussian Splatting scene representation,vector quantization techniques,3D Gaussians that render images from any viewpoint through a splatting process
"The limited controllability of large language models (LLMs) poses a significant challenge for downstream applications, particularly in the context of language generation. Existing LLMs rely on fully auto-regressive generation, which does not adequately address the intricacies of decision-making involved in language processing.",a decision-making process,inspiration,"Background: The limited controllability of large language models (LLMs) poses a significant challenge for downstream applications, particularly in the context of language generation. Existing LLMs rely on fully auto-regressive generation, which does not adequately address the intricacies of decision-making involved in language processing.
Contribution: 'a decision-making process' inspired by ",1,"the neural mechanisms of the human brain, specifically Broca's and Wernicke's areas, which are crucial for language generation and comprehension",1-32037_336b2c18-9823-4bfc-92e2-c13a60676a01,"['cs.cl', ' cs.lg']",True,auxiliary objective,Text generation in Large Language Models,Large Language Model,reinforcement learning,a one-step Markov decision process
"The study addresses the bottleneck often encountered in the analog ICs layout phase, highlighting the need for efficient solutions in the floorplanning problem. Existing methods may not adequately meet the established topological constraints, necessitating innovative approaches to improve the layout generation process and reduce runtimes compared to manual efforts.",the floorplanning problem,inspiration,"Background: The study addresses the bottleneck often encountered in the analog ICs layout phase, highlighting the need for efficient solutions in the floorplanning problem. Existing methods may not adequately meet the established topological constraints, necessitating innovative approaches to improve the layout generation process and reduce runtimes compared to manual efforts.
Contribution: 'the floorplanning problem' inspired by ",1,a Markov Decision Process,1-273_f04e997c-27eb-4e35-9321-8f8778362008,['cs.lg'],False,Gaussian Splatting editing,space layout planning,graph-constrained architectural layout generation tasks,genetic algorithms,space layout planning
