example_id,annotator,context,gold,baseline,suggestion,is_ill_defined,knowledge_level,k,rank,normalized_rank
1-399_4303bb53-050b-41da-bdbd-0abe03f154ee,noy.sternlicht@mail.huji.ac.il,"The trustworthiness of retrieval-augmented language models is compromised by hallucinations, primarily due to the conflict between contextual and parametric knowledge. There is a need to align these models to respond based solely on external evidence, minimizing the influence of parametric knowledge to enhance their reliability in real-world applications.",aligning language models with human preference,ours,the generator-verifier approach in Large Language Models,False,4,1,1,0.6666666666666666
1-399_4303bb53-050b-41da-bdbd-0abe03f154ee,noy.sternlicht@mail.huji.ac.il,"The trustworthiness of retrieval-augmented language models is compromised by hallucinations, primarily due to the conflict between contextual and parametric knowledge. There is a need to align these models to respond based solely on external evidence, minimizing the influence of parametric knowledge to enhance their reliability in real-world applications.",aligning language models with human preference,mpnet_zero,improve the robustness and contextual awareness of Large Language Models,False,4,1,3,2.0
1-399_4303bb53-050b-41da-bdbd-0abe03f154ee,noy.sternlicht@mail.huji.ac.il,"The trustworthiness of retrieval-augmented language models is compromised by hallucinations, primarily due to the conflict between contextual and parametric knowledge. There is a need to align these models to respond based solely on external evidence, minimizing the influence of parametric knowledge to enhance their reliability in real-world applications.",aligning language models with human preference,sciIE,retrieval-augmented language models,False,4,1,4,2.6666666666666665
1-399_4303bb53-050b-41da-bdbd-0abe03f154ee,noy.sternlicht@mail.huji.ac.il,"The trustworthiness of retrieval-augmented language models is compromised by hallucinations, primarily due to the conflict between contextual and parametric knowledge. There is a need to align these models to respond based solely on external evidence, minimizing the influence of parametric knowledge to enhance their reliability in real-world applications.",aligning language models with human preference,gpt-4o,fact-checking systems,False,4,1,2,1.3333333333333333
1-399_4303bb53-050b-41da-bdbd-0abe03f154ee,noy.sternlicht@mail.huji.ac.il,"The trustworthiness of retrieval-augmented language models is compromised by hallucinations, primarily due to the conflict between contextual and parametric knowledge. There is a need to align these models to respond based solely on external evidence, minimizing the influence of parametric knowledge to enhance their reliability in real-world applications.",aligning language models with human preference,random,a non-linear motion prior in the form of pixel-level trajectories,False,4,1,6,4.0
1-23261_dcdf3bfd-5fb5-4416-bf14-0992a328cd59,noy.sternlicht@mail.huji.ac.il,"Modern Large Language Models (LLMs) exhibit a performance gap in basic tasks like relation and event extraction, primarily due to the imprecision of existing evaluation metrics and the incompleteness of evaluation benchmarks caused by restrictive human annotation schemas. These issues lead to an underestimation of LLM performances and highlight the need for improved evaluation methods that can better assess semantic consistency and address benchmark limitations.",the principles in subjective question correction,gpt-4o,human cognitive evaluation,False,4,1,3,2.0
1-23261_dcdf3bfd-5fb5-4416-bf14-0992a328cd59,noy.sternlicht@mail.huji.ac.il,"Modern Large Language Models (LLMs) exhibit a performance gap in basic tasks like relation and event extraction, primarily due to the imprecision of existing evaluation metrics and the incompleteness of evaluation benchmarks caused by restrictive human annotation schemas. These issues lead to an underestimation of LLM performances and highlight the need for improved evaluation methods that can better assess semantic consistency and address benchmark limitations.",the principles in subjective question correction,mpnet_zero,the success of large language models in NLP,False,4,1,1,0.6666666666666666
1-23261_dcdf3bfd-5fb5-4416-bf14-0992a328cd59,noy.sternlicht@mail.huji.ac.il,"Modern Large Language Models (LLMs) exhibit a performance gap in basic tasks like relation and event extraction, primarily due to the imprecision of existing evaluation metrics and the incompleteness of evaluation benchmarks caused by restrictive human annotation schemas. These issues lead to an underestimation of LLM performances and highlight the need for improved evaluation methods that can better assess semantic consistency and address benchmark limitations.",the principles in subjective question correction,sciIE,fine-tuned large language models (LLMs),False,4,1,2,1.3333333333333333
1-23261_dcdf3bfd-5fb5-4416-bf14-0992a328cd59,noy.sternlicht@mail.huji.ac.il,"Modern Large Language Models (LLMs) exhibit a performance gap in basic tasks like relation and event extraction, primarily due to the imprecision of existing evaluation metrics and the incompleteness of evaluation benchmarks caused by restrictive human annotation schemas. These issues lead to an underestimation of LLM performances and highlight the need for improved evaluation methods that can better assess semantic consistency and address benchmark limitations.",the principles in subjective question correction,positive,the principles in subjective question correction,False,4,1,6,4.0
1-23261_dcdf3bfd-5fb5-4416-bf14-0992a328cd59,noy.sternlicht@mail.huji.ac.il,"Modern Large Language Models (LLMs) exhibit a performance gap in basic tasks like relation and event extraction, primarily due to the imprecision of existing evaluation metrics and the incompleteness of evaluation benchmarks caused by restrictive human annotation schemas. These issues lead to an underestimation of LLM performances and highlight the need for improved evaluation methods that can better assess semantic consistency and address benchmark limitations.",the principles in subjective question correction,ours,human evaluation,False,4,1,4,2.6666666666666665
1-23261_dcdf3bfd-5fb5-4416-bf14-0992a328cd59,noy.sternlicht@mail.huji.ac.il,"Modern Large Language Models (LLMs) exhibit a performance gap in basic tasks like relation and event extraction, primarily due to the imprecision of existing evaluation metrics and the incompleteness of evaluation benchmarks caused by restrictive human annotation schemas. These issues lead to an underestimation of LLM performances and highlight the need for improved evaluation methods that can better assess semantic consistency and address benchmark limitations.",the principles in subjective question correction,random,human flexibility and reasoning,False,4,1,5,3.333333333333333
1-41549_fe8b430d-566c-4f49-b4d5-49035a791a6d,noy.sternlicht@mail.huji.ac.il,"The evaluation of large language models (LLMs) for clinical applications is critical to ensure their safe and reliable use, particularly in mitigating potential risks such as hallucinations. Current evaluation methods are heavily reliant on labor-intensive human participation, highlighting the need for more efficient and automated approaches to assess LLMs' capabilities in medical diagnosis and treatment.",professional clinical practice pathways,gpt-4o,simulation-based testing frameworks,False,2,1,2,0.6666666666666666
1-41549_fe8b430d-566c-4f49-b4d5-49035a791a6d,noy.sternlicht@mail.huji.ac.il,"The evaluation of large language models (LLMs) for clinical applications is critical to ensure their safe and reliable use, particularly in mitigating potential risks such as hallucinations. Current evaluation methods are heavily reliant on labor-intensive human participation, highlighting the need for more efficient and automated approaches to assess LLMs' capabilities in medical diagnosis and treatment.",professional clinical practice pathways,mpnet_zero,consulting a large language model and medical experts,False,2,1,3,1.0
1-41549_fe8b430d-566c-4f49-b4d5-49035a791a6d,noy.sternlicht@mail.huji.ac.il,"The evaluation of large language models (LLMs) for clinical applications is critical to ensure their safe and reliable use, particularly in mitigating potential risks such as hallucinations. Current evaluation methods are heavily reliant on labor-intensive human participation, highlighting the need for more efficient and automated approaches to assess LLMs' capabilities in medical diagnosis and treatment.",professional clinical practice pathways,sciIE,complexity of medical language,False,2,1,6,2.0
1-41549_fe8b430d-566c-4f49-b4d5-49035a791a6d,noy.sternlicht@mail.huji.ac.il,"The evaluation of large language models (LLMs) for clinical applications is critical to ensure their safe and reliable use, particularly in mitigating potential risks such as hallucinations. Current evaluation methods are heavily reliant on labor-intensive human participation, highlighting the need for more efficient and automated approaches to assess LLMs' capabilities in medical diagnosis and treatment.",professional clinical practice pathways,positive,professional clinical practice pathways,False,2,1,1,0.3333333333333333
1-41549_fe8b430d-566c-4f49-b4d5-49035a791a6d,noy.sternlicht@mail.huji.ac.il,"The evaluation of large language models (LLMs) for clinical applications is critical to ensure their safe and reliable use, particularly in mitigating potential risks such as hallucinations. Current evaluation methods are heavily reliant on labor-intensive human participation, highlighting the need for more efficient and automated approaches to assess LLMs' capabilities in medical diagnosis and treatment.",professional clinical practice pathways,random,task-specific NLP models,False,2,1,5,1.6666666666666665
1-41549_fe8b430d-566c-4f49-b4d5-49035a791a6d,noy.sternlicht@mail.huji.ac.il,"The evaluation of large language models (LLMs) for clinical applications is critical to ensure their safe and reliable use, particularly in mitigating potential risks such as hallucinations. Current evaluation methods are heavily reliant on labor-intensive human participation, highlighting the need for more efficient and automated approaches to assess LLMs' capabilities in medical diagnosis and treatment.",professional clinical practice pathways,ours,"the widely-adopted ""needle-in-a-haystack"" (needle-in-a-haystack"") evaluation",False,2,1,4,1.3333333333333333
1-4330_cca3fb24-9267-4e27-941e-55040f509ca5,noy.sternlicht@mail.huji.ac.il,"There is a growing concern about distinguishing between LLM-generated and human-written texts to prevent misuse, such as the dissemination of misleading information and academic dishonesty. Previous research has primarily focused on classifying text as either entirely human-written or LLM-generated, neglecting the detection of mixed texts that contain both types of content.",a token classification problem,ours,recent works on machine-generated text detection,False,4,1,3,2.0
1-4330_cca3fb24-9267-4e27-941e-55040f509ca5,noy.sternlicht@mail.huji.ac.il,"There is a growing concern about distinguishing between LLM-generated and human-written texts to prevent misuse, such as the dissemination of misleading information and academic dishonesty. Previous research has primarily focused on classifying text as either entirely human-written or LLM-generated, neglecting the detection of mixed texts that contain both types of content.",a token classification problem,gpt-4o,stylometry techniques,False,4,1,1,0.6666666666666666
1-4330_cca3fb24-9267-4e27-941e-55040f509ca5,noy.sternlicht@mail.huji.ac.il,"There is a growing concern about distinguishing between LLM-generated and human-written texts to prevent misuse, such as the dissemination of misleading information and academic dishonesty. Previous research has primarily focused on classifying text as either entirely human-written or LLM-generated, neglecting the detection of mixed texts that contain both types of content.",a token classification problem,random,Adversarial attacks against language models(LMs),False,4,1,4,2.6666666666666665
1-4330_cca3fb24-9267-4e27-941e-55040f509ca5,noy.sternlicht@mail.huji.ac.il,"There is a growing concern about distinguishing between LLM-generated and human-written texts to prevent misuse, such as the dissemination of misleading information and academic dishonesty. Previous research has primarily focused on classifying text as either entirely human-written or LLM-generated, neglecting the detection of mixed texts that contain both types of content.",a token classification problem,sciIE,LLM's textual representation counterparts,False,4,1,5,3.333333333333333
1-4330_cca3fb24-9267-4e27-941e-55040f509ca5,noy.sternlicht@mail.huji.ac.il,"There is a growing concern about distinguishing between LLM-generated and human-written texts to prevent misuse, such as the dissemination of misleading information and academic dishonesty. Previous research has primarily focused on classifying text as either entirely human-written or LLM-generated, neglecting the detection of mixed texts that contain both types of content.",a token classification problem,mpnet_zero,an LLM that effectively processes textual information,False,4,1,6,4.0
1-4330_cca3fb24-9267-4e27-941e-55040f509ca5,noy.sternlicht@mail.huji.ac.il,"There is a growing concern about distinguishing between LLM-generated and human-written texts to prevent misuse, such as the dissemination of misleading information and academic dishonesty. Previous research has primarily focused on classifying text as either entirely human-written or LLM-generated, neglecting the detection of mixed texts that contain both types of content.",a token classification problem,positive,a token classification problem,False,4,1,2,1.3333333333333333
1-2288_347a15a9-1b5a-49bf-92a8-a2b9d4cee10d,noy.sternlicht@mail.huji.ac.il,"The abstract highlights issues of inconsistent conceptualization and vague expression in existing NLG quality criteria, which reduce the reliability of LLM evaluations. Additionally, it points out the confusion inherent in LLMs regarding different evaluation criteria, indicating a need for further research and improvements in LLM-based evaluation methods.",behavioral testing,gpt-4o,human linguistic judgment,False,2,1,3,1.0
1-2288_347a15a9-1b5a-49bf-92a8-a2b9d4cee10d,noy.sternlicht@mail.huji.ac.il,"The abstract highlights issues of inconsistent conceptualization and vague expression in existing NLG quality criteria, which reduce the reliability of LLM evaluations. Additionally, it points out the confusion inherent in LLMs regarding different evaluation criteria, indicating a need for further research and improvements in LLM-based evaluation methods.",behavioral testing,ours,human evaluation,False,2,1,1,0.3333333333333333
1-2288_347a15a9-1b5a-49bf-92a8-a2b9d4cee10d,noy.sternlicht@mail.huji.ac.il,"The abstract highlights issues of inconsistent conceptualization and vague expression in existing NLG quality criteria, which reduce the reliability of LLM evaluations. Additionally, it points out the confusion inherent in LLMs regarding different evaluation criteria, indicating a need for further research and improvements in LLM-based evaluation methods.",behavioral testing,sciIE,LLM-based automatic evaluation metric,False,2,1,4,1.3333333333333333
1-2288_347a15a9-1b5a-49bf-92a8-a2b9d4cee10d,noy.sternlicht@mail.huji.ac.il,"The abstract highlights issues of inconsistent conceptualization and vague expression in existing NLG quality criteria, which reduce the reliability of LLM evaluations. Additionally, it points out the confusion inherent in LLMs regarding different evaluation criteria, indicating a need for further research and improvements in LLM-based evaluation methods.",behavioral testing,random,implicit feature embeddings,False,2,1,5,1.6666666666666665
1-2288_347a15a9-1b5a-49bf-92a8-a2b9d4cee10d,noy.sternlicht@mail.huji.ac.il,"The abstract highlights issues of inconsistent conceptualization and vague expression in existing NLG quality criteria, which reduce the reliability of LLM evaluations. Additionally, it points out the confusion inherent in LLMs regarding different evaluation criteria, indicating a need for further research and improvements in LLM-based evaluation methods.",behavioral testing,mpnet_zero,evaluating the quality of text generated by generative Large Language Models(LLMs),False,2,1,6,2.0
1-2288_347a15a9-1b5a-49bf-92a8-a2b9d4cee10d,noy.sternlicht@mail.huji.ac.il,"The abstract highlights issues of inconsistent conceptualization and vague expression in existing NLG quality criteria, which reduce the reliability of LLM evaluations. Additionally, it points out the confusion inherent in LLMs regarding different evaluation criteria, indicating a need for further research and improvements in LLM-based evaluation methods.",behavioral testing,positive,behavioral testing,False,2,1,2,0.6666666666666666
1-11323_c67c7988-f949-4d36-bbbc-8c0c132d9a4c,noy.sternlicht@mail.huji.ac.il,"Aligning language models with human preferences is crucial for better meeting diverse user needs, and there is a need to effectively transfer alignment behavior from weaker models to stronger ones. The observation that stronger models can benefit from the alignment capabilities of weaker models highlights a gap in existing approaches to model alignment.",weak-to-strong generalization,mpnet_zero,the language model alignment,False,3,1,2,1.0
1-11323_c67c7988-f949-4d36-bbbc-8c0c132d9a4c,noy.sternlicht@mail.huji.ac.il,"Aligning language models with human preferences is crucial for better meeting diverse user needs, and there is a need to effectively transfer alignment behavior from weaker models to stronger ones. The observation that stronger models can benefit from the alignment capabilities of weaker models highlights a gap in existing approaches to model alignment.",weak-to-strong generalization,gpt-4o,human collaborative learning,False,3,1,3,1.5
1-11323_c67c7988-f949-4d36-bbbc-8c0c132d9a4c,noy.sternlicht@mail.huji.ac.il,"Aligning language models with human preferences is crucial for better meeting diverse user needs, and there is a need to effectively transfer alignment behavior from weaker models to stronger ones. The observation that stronger models can benefit from the alignment capabilities of weaker models highlights a gap in existing approaches to model alignment.",weak-to-strong generalization,sciIE,language model fine-tuning techniques,False,3,1,5,2.5
1-11323_c67c7988-f949-4d36-bbbc-8c0c132d9a4c,noy.sternlicht@mail.huji.ac.il,"Aligning language models with human preferences is crucial for better meeting diverse user needs, and there is a need to effectively transfer alignment behavior from weaker models to stronger ones. The observation that stronger models can benefit from the alignment capabilities of weaker models highlights a gap in existing approaches to model alignment.",weak-to-strong generalization,positive,weak-to-strong generalization,False,3,1,4,2.0
1-11323_c67c7988-f949-4d36-bbbc-8c0c132d9a4c,noy.sternlicht@mail.huji.ac.il,"Aligning language models with human preferences is crucial for better meeting diverse user needs, and there is a need to effectively transfer alignment behavior from weaker models to stronger ones. The observation that stronger models can benefit from the alignment capabilities of weaker models highlights a gap in existing approaches to model alignment.",weak-to-strong generalization,random,partitioning large-scale hypergraphs,False,3,1,6,3.0
1-11323_c67c7988-f949-4d36-bbbc-8c0c132d9a4c,noy.sternlicht@mail.huji.ac.il,"Aligning language models with human preferences is crucial for better meeting diverse user needs, and there is a need to effectively transfer alignment behavior from weaker models to stronger ones. The observation that stronger models can benefit from the alignment capabilities of weaker models highlights a gap in existing approaches to model alignment.",weak-to-strong generalization,ours,aligning Large Language Models with human preferences,False,3,1,1,0.5
1-40766_f1a0dc30-65c4-49c6-b3a5-659c27e6fc78,noy.sternlicht@mail.huji.ac.il,"The application of large language models (LLMs) as evaluators in pairwise comparisons often leads to selection bias, resulting in inconsistent judgments that compromise the fairness and effectiveness of evaluation results. This highlights a significant challenge in developing reliable automated evaluation frameworks that can mitigate such biases and improve performance in AI-driven assessments.",an optimization task aimed at adjusting observed prediction distributions to align with unbiased prediction distributions,ours,bias examination,False,2,1,5,1.6666666666666665
1-40766_f1a0dc30-65c4-49c6-b3a5-659c27e6fc78,noy.sternlicht@mail.huji.ac.il,"The application of large language models (LLMs) as evaluators in pairwise comparisons often leads to selection bias, resulting in inconsistent judgments that compromise the fairness and effectiveness of evaluation results. This highlights a significant challenge in developing reliable automated evaluation frameworks that can mitigate such biases and improve performance in AI-driven assessments.",an optimization task aimed at adjusting observed prediction distributions to align with unbiased prediction distributions,gpt-4o,adversarial training,False,2,1,2,0.6666666666666666
1-40766_f1a0dc30-65c4-49c6-b3a5-659c27e6fc78,noy.sternlicht@mail.huji.ac.il,"The application of large language models (LLMs) as evaluators in pairwise comparisons often leads to selection bias, resulting in inconsistent judgments that compromise the fairness and effectiveness of evaluation results. This highlights a significant challenge in developing reliable automated evaluation frameworks that can mitigate such biases and improve performance in AI-driven assessments.",an optimization task aimed at adjusting observed prediction distributions to align with unbiased prediction distributions,mpnet_zero,Large Language Model Bias Index,False,2,1,4,1.3333333333333333
1-40766_f1a0dc30-65c4-49c6-b3a5-659c27e6fc78,noy.sternlicht@mail.huji.ac.il,"The application of large language models (LLMs) as evaluators in pairwise comparisons often leads to selection bias, resulting in inconsistent judgments that compromise the fairness and effectiveness of evaluation results. This highlights a significant challenge in developing reliable automated evaluation frameworks that can mitigate such biases and improve performance in AI-driven assessments.",an optimization task aimed at adjusting observed prediction distributions to align with unbiased prediction distributions,positive,an optimization task aimed at adjusting observed prediction distributions to align with unbiased prediction distributions,False,2,1,1,0.3333333333333333
1-40766_f1a0dc30-65c4-49c6-b3a5-659c27e6fc78,noy.sternlicht@mail.huji.ac.il,"The application of large language models (LLMs) as evaluators in pairwise comparisons often leads to selection bias, resulting in inconsistent judgments that compromise the fairness and effectiveness of evaluation results. This highlights a significant challenge in developing reliable automated evaluation frameworks that can mitigate such biases and improve performance in AI-driven assessments.",an optimization task aimed at adjusting observed prediction distributions to align with unbiased prediction distributions,sciIE,Large Language Model Bias Index (LLMBI),False,2,1,3,1.0
1-40766_f1a0dc30-65c4-49c6-b3a5-659c27e6fc78,noy.sternlicht@mail.huji.ac.il,"The application of large language models (LLMs) as evaluators in pairwise comparisons often leads to selection bias, resulting in inconsistent judgments that compromise the fairness and effectiveness of evaluation results. This highlights a significant challenge in developing reliable automated evaluation frameworks that can mitigate such biases and improve performance in AI-driven assessments.",an optimization task aimed at adjusting observed prediction distributions to align with unbiased prediction distributions,random,a human-written document,False,2,1,6,2.0
1-31947_b1f88262-1a96-403f-869a-81fc0a4265a7,noy.sternlicht@mail.huji.ac.il,"Large language models (LLMs) often struggle to provide up-to-date information due to their one-time training and the constantly evolving nature of the world. Existing approaches to keep LLMs current face difficulties in extracting stored knowledge, highlighting a need for improved methods of knowledge acquisition from raw documents.",the remarkable success of the Feynman Technique in efficient human learning,gpt-4o,neuroscience-inspired memory consolidation,False,3,1,4,2.0
1-31947_b1f88262-1a96-403f-869a-81fc0a4265a7,noy.sternlicht@mail.huji.ac.il,"Large language models (LLMs) often struggle to provide up-to-date information due to their one-time training and the constantly evolving nature of the world. Existing approaches to keep LLMs current face difficulties in extracting stored knowledge, highlighting a need for improved methods of knowledge acquisition from raw documents.",the remarkable success of the Feynman Technique in efficient human learning,ours,"neuroscience, where the human brain often sheds outdated information to improve the retention of crucial knowledge and facilitate the acquisition of new information",False,3,1,1,0.5
1-31947_b1f88262-1a96-403f-869a-81fc0a4265a7,noy.sternlicht@mail.huji.ac.il,"Large language models (LLMs) often struggle to provide up-to-date information due to their one-time training and the constantly evolving nature of the world. Existing approaches to keep LLMs current face difficulties in extracting stored knowledge, highlighting a need for improved methods of knowledge acquisition from raw documents.",the remarkable success of the Feynman Technique in efficient human learning,sciIE,open-source large language models (LLMs),False,3,1,5,2.5
1-31947_b1f88262-1a96-403f-869a-81fc0a4265a7,noy.sternlicht@mail.huji.ac.il,"Large language models (LLMs) often struggle to provide up-to-date information due to their one-time training and the constantly evolving nature of the world. Existing approaches to keep LLMs current face difficulties in extracting stored knowledge, highlighting a need for improved methods of knowledge acquisition from raw documents.",the remarkable success of the Feynman Technique in efficient human learning,random,large foundation models,False,3,1,6,3.0
1-31947_b1f88262-1a96-403f-869a-81fc0a4265a7,noy.sternlicht@mail.huji.ac.il,"Large language models (LLMs) often struggle to provide up-to-date information due to their one-time training and the constantly evolving nature of the world. Existing approaches to keep LLMs current face difficulties in extracting stored knowledge, highlighting a need for improved methods of knowledge acquisition from raw documents.",the remarkable success of the Feynman Technique in efficient human learning,mpnet_zero,the fusion between distribution of large language models knowledge and distribution of retrieved texts,False,3,1,3,1.5
